Long,Lat,FID,Kode_Provi,Provinsi,Positif,Sembuh,Meninggal
96.9095227480001,4.22508189200005,1,11,Aceh,3595,1304,134
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,9368,5631,399
100.46680503,-0.85191434799998,3,13,Sumatera Barat,4267,2215,93
101.812891954,0.510525849000032,4,14,Riau,5288,2161,100
103.59932,-1.61775,5,15,Jambi,386,255,8
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,5402,3934,323
102.26312,-3.79116,7,17,Bengkulu,536,280,31
105.986948082,-2.25295641099996,8,19,Kepulauan Bangka Belitung,191,173,2
105.018313051,-4.91807308699993,9,18,Lampung,728,436,29
108.202228889,3.91594724100003,10,21,Kepulauan Riau,1639,1174,56
106.82649,-6.17148,11,31,DKI Jakarta,61966,48247,1541
107.602807898,-6.91998021599994,12,32,Jawa Barat,16822,9910,317
110.201112529,-7.25897038299996,13,33,Jawa Tengah,19516,12985,1252
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,2181,1506,58
112.733678801,-7.72011301899994,15,35,Jawa Timur,40708,33234,2965
106.109197069,-6.45618159899993,16,36,Banten,4343,2682,129
115.131650995,-8.36974326099994,17,51,Bali,7749,6338,216
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,3101,2430,182
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,321,231,5
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,867,705,7
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,3272,2527,128
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,9735,8130,399
116.470858393,0.461046227000054,23,64,Kalimantan Timur,6776,4454,266
116.216718309,2.88882096100002,24,65,Kalimantan Utara,489,421,3
124.53537885,1.28609768700005,25,71,Sulawesi Utara,4295,3351,168
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,320,233,12
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,14367,10537,397
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,2187,1372,47
123.06184,0.53707,29,75,Gorontalo,2435,2123,69
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,504,378,7
129.360425,-3.12611934299997,31,81,Maluku,2566,1630,38
128.015929442,0.869337001000019,32,82,Maluku Utara,1992,1787,72
140.0,-5.0,33,94,Papua,5149,3558,72
132.968341712,-2.04172328199996,34,91,Papua Barat,1495,904,26
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
