FID,Shape,kecamatan,kabupaten,provinsi,lat,lon,kategori
1,"Point[X=121.884078499823, Y=-5.27869706901447, WKID=4326]",KABAENA,BOMBANA,SULAWESI TENGGARA,-5.278697069,121.8840785,high
2,"Point[X=130.68954279986, Y=-0.36205950764014, WKID=4326]",WAIGEO SELATAN,RAJA AMPAT,PAPUA BARAT,-0.362059508,130.6895428,high
3,"Point[X=134.519645800014, Y=-3.24070445504651, WKID=4326]",NAIKERE,TELUK WONDAMA,PAPUA BARAT,-3.240704455,134.5196458,high
4,"Point[X=129.931079900317, Y=-1.85133400106326, WKID=4326]",MISOOL (MISOOL UTARA),RAJA AMPAT,PAPUA BARAT,-1.851334001,129.9310799,high
5,"Point[X=130.374832399995, Y=-0.182449063373554, WKID=4326]",WAIGEO BARAT,RAJA AMPAT,PAPUA BARAT,-0.182449063,130.3748324,high
6,"Point[X=131.417712600156, Y=-0.972069736928745, WKID=4326]",SORONG,SORONG,PAPUA BARAT,-0.972069737,131.4177126,high
7,"Point[X=140.141311199752, Y=-3.55540232195955, WKID=4326]",AIRU,JAYAPURA,PAPUA,-3.555402322,140.1413112,high
8,"Point[X=133.709851199773, Y=-2.90003160077771, WKID=4326]",FAFURWAR,TELUK BINTUNI,PAPUA BARAT,-2.900031601,133.7098512,high
9,"Point[X=138.687994400421, Y=-4.33306376777864, WKID=4326]",TRIKORA,JAYAWIJAYA,PAPUA,-4.333063768,138.6879944,high
10,"Point[X=121.323673000409, Y=0.670348064811378, WKID=4326]",POPAYATO BARAT,PAHUWATO,GORONTALO,0.670348065,121.323673,high
11,"Point[X=135.212318699948, Y=-1.49922589196132, WKID=4326]",PULAU YERUI,KEPULAUAN YAPEN,PAPUA,-1.499225892,135.2123187,high
12,"Point[X=119.79931029993, Y=-3.78068850107343, WKID=4326]",KULO,SIDENRENG RAPPANG,SULAWESI SELATAN,-3.780688501,119.7993103,high
13,"Point[X=115.115791400253, Y=-2.25199583833722, WKID=4326]",BANUA LIMA,BARITO TIMUR,KALIMANTAN TENGAH,-2.251995838,115.1157914,high
14,"Point[X=136.548163200072, Y=-3.76769430744628, WKID=4326]",ARADIDE,PANIAI,PAPUA,-3.767694307,136.5481632,high
15,"Point[X=99.1238836003479, Y=2.52711456018886, WKID=4326]",BONATUA LUNASI,TOBA SAMOSIR,SUMATERA UTARA,2.52711456,99.1238836,high
16,"Point[X=98.3798056995734, Y=2.49706344602129, WKID=4326]",SITELU TALI URANG JULU,PAKPAK BHARAT,SUMATERA UTARA,2.497063446,98.3798057,high
17,"Point[X=138.946233299627, Y=-3.98276384187773, WKID=4326]",KURULU,JAYAWIJAYA,PAPUA,-3.982763842,138.9462333,high
18,"Point[X=99.2164198602884, Y=2.45444132320853, WKID=4326]",SIANTAR NARUMONDA,TOBA SAMOSIR,SUMATERA UTARA,2.454441323,99.21641986,high
19,"Point[X=109.380489200117, Y=0.828523401933523, WKID=4326]",SUNGAI BETUNG,BENGKAYANG,KALIMANTAN BARAT,0.828523402,109.3804892,high
20,"Point[X=135.529815800259, Y=-1.64881102091186, WKID=4326]",WONAWA,KEPULAUAN YAPEN,PAPUA,-1.648811021,135.5298158,high
21,"Point[X=122.570123899898, Y=0.539629910192275, WKID=4326]",PAGUYAMAN PANTAI,BOALEMO,GORONTALO,0.53962991,122.5701239,high
22,"Point[X=114.92800909984, Y=1.50582966071033, WKID=4326]",KAYAN SELATAN,MALINAU,KALIMANTAN UTARA,1.505829661,114.9280091,high
23,"Point[X=98.1813777104131, Y=2.43108191240037, WKID=4326]",PAGINDAR,PAKPAK BHARAT,SUMATERA UTARA,2.431081912,98.18137771,high
24,"Point[X=104.641016699561, Y=-4.30055131619025, WKID=4326]",BAHUGA,WAY KANAN,LAMPUNG,-4.300551316,104.6410167,high
25,"Point[X=125.588711699785, Y=3.7731941529878, WKID=4326]",NUSA TABUKAN,KEPULAUAN SANGIHE,SULAWESI UTARA,3.773194153,125.5887117,high
26,"Point[X=99.6061236598791, Y=-2.1411080217178, WKID=4326]",SIPORA UTARA,KEPULAUAN MENTAWAI,SUMATERA BARAT,-2.141108022,99.60612366,high
27,"Point[X=112.348230899936, Y=0.662447401926102, WKID=4326]",JONGKONG,KAPUAS HULU,KALIMANTAN BARAT,0.662447402,112.3482309,high
28,"Point[X=115.556713700177, Y=1.96828731880476, WKID=4326]",KAYAN HILIR,MALINAU,KALIMANTAN UTARA,1.968287319,115.5567137,high
29,"Point[X=115.259747200373, Y=-1.95825566626593, WKID=4326]",AWANG,BARITO TIMUR,KALIMANTAN TENGAH,-1.958255666,115.2597472,high
30,"Point[X=115.348416399797, Y=-1.99208218294632, WKID=4326]",PATANGKEP TUTUI,BARITO TIMUR,KALIMANTAN TENGAH,-1.992082183,115.3484164,high
31,"Point[X=111.214689100022, Y=-1.63513936439011, WKID=4326]",BATANG KAWA,LAMANDAU,KALIMANTAN TENGAH,-1.635139364,111.2146891,high
32,"Point[X=127.870581699986, Y=-0.0664765140797954, WKID=4326]",GANE TIMUR,HALMAHERA SELATAN,MALUKU UTARA,-0.066476514,127.8705817,high
33,"Point[X=114.156353799688, Y=-0.404560837112911, WKID=4326]",SUMBER BARITO,MURUNG RAYA,KALIMANTAN TENGAH,-0.404560837,114.1563538,high
34,"Point[X=136.04363379976, Y=-1.69080488543705, WKID=4326]",WINDESI,KEPULAUAN YAPEN,PAPUA,-1.690804885,136.0436338,high
35,"Point[X=95.761477829938, Y=2.80526051586014, WKID=4326]",ALAPAN,SIMEULUE,ACEH,2.805260516,95.76147783,high
36,"Point[X=104.700517599807, Y=-4.85520377603336, WKID=4326]",ABUNG BARAT,LAMPUNG UTARA,LAMPUNG,-4.855203776,104.7005176,high
37,"Point[X=103.294735700192, Y=-3.9621357233849, WKID=4326]",PAJAR BULAN,LAHAT,SUMATERA SELATAN,-3.962135723,103.2947357,high
38,"Point[X=99.3541136504247, Y=2.52872340596048, WKID=4326]",PINTU POHAN MERANTI,TOBA SAMOSIR,SUMATERA UTARA,2.528723406,99.35411365,high
39,"Point[X=115.581333199667, Y=-3.38983338130544, WKID=4326]",KUSAN HULU,TANAH BUMBU,KALIMANTAN SELATAN,-3.389833381,115.5813332,high
40,"Point[X=114.872930899941, Y=-3.51192428557727, WKID=4326]",CEMPAKA,KOTA BANJARBARU,KALIMANTAN SELATAN,-3.511924286,114.8729309,high
41,"Point[X=106.167373000064, Y=2.98372113012613, WKID=4326]",SIANTAN SELATAN,KEPULAUAN ANAMBAS,KEPULAUAN RIAU,2.98372113,106.167373,high
42,"Point[X=111.0864676001, Y=0.878998467805104, WKID=4326]",KETUNGAU HULU,SINTANG,KALIMANTAN BARAT,0.878998468,111.0864676,high
43,"Point[X=103.887777299883, Y=-3.53069477524366, WKID=4326]",GUNUNG MEGANG,MUARA ENIM,SUMATERA SELATAN,-3.530694775,103.8877773,high
44,"Point[X=99.4970773904093, Y=0.81924232287497, WKID=4326]",PANYABUNGAN BARAT,MANDAILING NATAL,SUMATERA UTARA,0.819242323,99.49707739,high
45,"Point[X=101.710660300133, Y=0.981136647138612, WKID=4326]",SUNGAI MANDAU,SIAK,RIAU,0.981136647,101.7106603,high
46,"Point[X=122.723959400206, Y=-4.33428393465579, WKID=4326]",KOLONO,KONAWE SELATAN,SULAWESI TENGGARA,-4.334283935,122.7239594,high
47,"Point[X=108.394801399865, Y=-7.448947699077, WKID=4326]",KARANG JAYA,TASIKMALAYA,JAWA BARAT,-7.448947699,108.3948014,high
48,"Point[X=97.4011739603101, Y=2.29600237141238, WKID=4326]",PULAU BANYAK,ACEH SINGKIL,ACEH,2.296002371,97.40117396,high
49,"Point[X=136.220562400035, Y=-3.90169357469864, WKID=4326]",PANIAI BARAT,PANIAI,PAPUA,-3.901693575,136.2205624,high
50,"Point[X=103.846949200445, Y=-5.1206644632943, WKID=4326]",PULAUPISANG,PESISIR BARAT,LAMPUNG,-5.120664463,103.8469492,high
51,"Point[X=137.555557399654, Y=-4.96802871075636, WKID=4326]",JITA,MIMIKA,PAPUA,-4.968028711,137.5555574,high
52,"Point[X=127.565370200375, Y=1.20360983592525, WKID=4326]",SAHU TIMUR,HALMAHERA BARAT,MALUKU UTARA,1.203609836,127.5653702,high
53,"Point[X=123.091068999635, Y=0.712368222815257, WKID=4326]",BULANGO UTARA,BONE BOLANGO,GORONTALO,0.712368223,123.091069,high
54,"Point[X=140.589746099703, Y=-2.61181026683028, WKID=4326]",SENTANI TIMUR,JAYAPURA,PAPUA,-2.611810267,140.5897461,high
55,"Point[X=118.694187400428, Y=1.17251969542764, WKID=4326]",BIDUK-BIDUK,BERAU,KALIMANTAN TIMUR,1.172519695,118.6941874,high
56,"Point[X=100.726095399683, Y=-0.658665535785815, WKID=4326]",BARANGIN,KOTA SAWAHLUNTO,SUMATERA BARAT,-0.658665536,100.7260954,high
57,"Point[X=118.222780200146, Y=-7.14500972401947, WKID=4326]",LIUKANG TANGAYA,PANGKAJENE DAN KEPULAUAN,SULAWESI SELATAN,-7.145009724,118.2227802,high
58,"Point[X=115.768325499622, Y=3.61240558385066, WKID=4326]",KRAYAN SELATAN,NUNUKAN,KALIMANTAN UTARA,3.612405584,115.7683255,high
59,"Point[X=140.430422199725, Y=-2.68209366788841, WKID=4326]",KEMTUK,JAYAPURA,PAPUA,-2.682093668,140.4304222,high
60,"Point[X=124.325621100434, Y=0.758458347274939, WKID=4326]",KOTAMOBAGU UTARA,KOTA KOTAMOBAGU,SULAWESI UTARA,0.758458347,124.3256211,high
61,"Point[X=140.302934099629, Y=-2.72112320237386, WKID=4326]",KEMTUK GRESI,JAYAPURA,PAPUA,-2.721123202,140.3029341,high
62,"Point[X=133.915917700342, Y=-1.02099806690723, WKID=4326]",WARMARE,MANOKWARI,PAPUA BARAT,-1.020998067,133.9159177,high
63,"Point[X=140.196365500168, Y=-2.70368399532009, WKID=4326]",GRESI  SELATAN,JAYAPURA,PAPUA,-2.703683995,140.1963655,high
64,"Point[X=113.659399100288, Y=-1.76436915900945, WKID=4326]",RAKUMPIT,KOTA PALANGKARAYA,KALIMANTAN TENGAH,-1.764369159,113.6593991,high
65,"Point[X=121.439470799738, Y=0.650918880202198, WKID=4326]",POPAYATO,PAHUWATO,GORONTALO,0.65091888,121.4394708,high
66,"Point[X=121.663237100312, Y=-4.03775032801519, WKID=4326]",KOLAKA,KOLAKA,SULAWESI TENGGARA,-4.037750328,121.6632371,high
67,"Point[X=114.864178599763, Y=-2.43768259607492, WKID=4326]",JENAMAS,BARITO SELATAN,KALIMANTAN TENGAH,-2.437682596,114.8641786,high
68,"Point[X=110.667892899937, Y=-7.93863561194388, WKID=4326]",KARANGMOJO,GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,-7.938635612,110.6678929,high
69,"Point[X=110.364249299965, Y=-7.7828152458269, WKID=4326]",JETIS,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.782815246,110.3642493,high
70,"Point[X=110.398733400026, Y=-7.81873015197488, WKID=4326]",KOTAGEDE,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.818730152,110.3987334,high
71,"Point[X=102.82934169986, Y=-3.30631962914754, WKID=4326]",LUBUK LINGGAU BARAT I,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.306319629,102.8293417,high
72,"Point[X=98.6681126795566, Y=3.12841225372256, WKID=4326]",GUNUNG MERIAH,DELI SERDANG,SUMATERA UTARA,3.128412254,98.66811268,high
73,"Point[X=110.367144699668, Y=-7.80188037767726, WKID=4326]",GONDOMANAN,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.801880378,110.3671447,high
74,"Point[X=111.33695079994, Y=-7.6867998839075, WKID=4326]",NGARIBOYO,MAGETAN,JAWA TIMUR,-7.686799884,111.3369508,high
75,"Point[X=110.462520600445, Y=-7.84328709822097, WKID=4326]",PIYUNGAN,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,-7.843287098,110.4625206,high
76,"Point[X=117.637453899578, Y=3.70222457820176, WKID=4326]",TANA LIA,TANA TIDUNG,KALIMANTAN UTARA,3.702224578,117.6374539,high
77,"Point[X=113.181936899568, Y=-7.76854350407939, WKID=4326]",KADEMANGAN,KOTA PROBOLINGGO,JAWA TIMUR,-7.768543504,113.1819369,high
78,"Point[X=121.285447500302, Y=-2.45524713714559, WKID=4326]",NUHA,LUWU TIMUR,SULAWESI SELATAN,-2.455247137,121.2854475,high
