Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID,suspek
1,2020/03/02 00:00:00+00,2,0,0,2,2,0,0,2,0,0,100,,339,335,,,,,3989,57796,2922648,866539,36753,108376,758163,13439,33504,34,493,2020/09/20 09:00:00+00,1,107370
52,2020/03/03 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,55732,341,337,5362,2,17754,193571,,,,,,,,,,,,1970/01/01 00:00:00+00,2,
2,2020/03/04 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,372,356,,31,,,,,,,,,,,,,,1970/01/01 00:00:00+00,3,
53,2020/03/05 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,59935,388,371,4203,16,18283,195948,,,,,,,,,,,,1970/01/01 00:00:00+00,4,
54,2020/03/06 00:00:00+00,4,0,0,4,2,0,0,2,0,0,100,64054,450,422,4119,62,18301,197951,,,,,,,,,,,,1970/01/01 00:00:00+00,5,
3,2020/03/07 00:00:00+00,4,0,0,4,0,0,0,0,0,0,100,,454,422,,4,,,,,,,,,,,,,,1970/01/01 00:00:00+00,6,
55,2020/03/08 00:00:00+00,6,0,0,6,2,0,0,2,0,0,100,67828,483,445,3774,29,19084,206911,,,,,,,,,,,,1970/01/01 00:00:00+00,7,
4,2020/03/09 00:00:00+00,19,0,0,19,13,0,0,13,0,0,100,,543,487,,60,,,,,,,,,,,,,,1970/01/01 00:00:00+00,8,
5,2020/03/10 00:00:00+00,27,2,0,25,8,2,0,6,7.40740740740741,0,92.5925925925926,,694,648,,151,,,,,,,,,,,,,,1970/01/01 00:00:00+00,9,
56,2020/03/11 00:00:00+00,34,2,1,31,7,0,1,6,5.88235294117647,2.94117647058824,91.1764705882353,72099,793,744,4271,99,19648,209040,,,,,,,,,,,,1970/01/01 00:00:00+00,10,
